state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,electric vehicle %,population,voter turnout %
alabama,Jefferson,134768,156873,291641,46.21,53.79,0.7570617783286581,660343.0,44.165077845907355
alabama,Mobile,95116,72186,167302,56.85,43.15,0.6290730473689329,414945.0,40.31907843208136
alabama,Madison,89520,62822,152342,58.76,41.24,1.1314812796493987,356729.0,42.705246840038235
alabama,Shelby,73020,22977,95997,76.06,23.94,1.035096153846154,211282.0,45.43548432900105
alabama,Montgomery,34003,58916,92919,36.59,63.41,0.5682073193720099,227170.0,40.90284808733548
alabama,Baldwin,72883,18458,91341,79.79,20.21,1.0526061542920633,207601.0,43.99834297522652
alabama,Tuscaloosa,47723,31762,79485,60.04,39.96,0.6754642340507189,206464.0,38.49823698078115
alabama,Lee,34617,21230,55847,61.99,38.01,0.8877625707337423,159168.0,35.0868264977885
alabama,Morgan,37486,11254,48740,76.91,23.09,0.5457568016867372,119006.0,40.95591818899887
alabama,Calhoun,32865,13242,46107,71.28,28.72,0.575653642646628,114973.0,40.102458838162
alabama,Etowah,32353,10442,42795,75.6,24.4,0.5020350176624174,102855.0,41.60711681493364
alabama,Houston,30728,10664,41392,74.24,25.76,0.6114844106162416,104218.0,39.71674758678923
alabama,Limestone,29067,9468,38535,75.43,24.57,0.6773567741157644,92847.0,41.50376425732657
alabama,Lauderdale,27899,9952,37851,73.71,26.29,0.652360328676718,92425.0,40.953205301595894
alabama,St. Clair,31651,5589,37240,84.99,15.01,0.5338861351739473,87306.0,42.65457127803358
alabama,Cullman,32989,3798,36787,89.68,10.32,0.4810508764814565,82450.0,44.6173438447544
alabama,Elmore,27634,8443,36077,76.6,23.4,0.495295846689734,81204.0,44.42761440323137
alabama,Marshall,29233,4917,34150,85.6,14.4,0.5481035616765989,95113.0,35.90466077192392
alabama,Talladega,20614,12121,32735,62.97,37.03,0.4304248158806028,80552.0,40.638345416625285
alabama,Walker,24266,4497,28763,84.37,15.63,0.398797989159435,64533.0,44.570994684889904
alabama,DeKalb,21405,3622,25027,85.53,14.47,0.4750992118942484,71104.0,35.19773852385239
alabama,Blount,22859,2156,25015,91.38,8.62,0.4010966693744923,57494.0,43.50888788395311
alabama,Autauga,18172,5936,24108,75.38,24.62,0.5294431324750515,55243.0,43.63991817967887
alabama,Colbert,16746,7312,24058,69.61,30.39,0.5107975522176706,54497.0,44.145549296291534
alabama,Jackson,16672,3673,20345,81.95,18.05,0.5400738157315547,51988.0,39.134030930214664
alabama,Coffee,15875,4221,20096,79.0,21.0,0.5703986849141431,51202.0,39.24846685676341
alabama,Tallapoosa,13594,5519,19113,71.12,28.88,0.4824857666698832,40586.0,47.09259350514956
alabama,Russell,9210,9579,18789,49.02,50.98,0.5386506967329664,58185.0,32.291827790667696
alabama,Dallas,5789,12836,18625,31.08,68.92,0.1808460449756251,40080.0,46.46956087824351
alabama,Dale,13808,4413,18221,75.78,24.22,0.5419756878922193,49362.0,36.913010007698226
alabama,Chilton,15081,2911,17992,83.82,16.18,0.3449781659388646,43866.0,41.01582090913236
alabama,Covington,13267,2387,15654,84.75,15.25,0.3646466400416739,37382.0,41.87576908672624
alabama,Escambia,9935,4605,14540,68.33,31.67,0.2892658900789618,37475.0,38.799199466310874
alabama,Lawrence,10833,3627,14460,74.92,25.08,0.3646503646503646,33227.0,43.51882505191561
alabama,Chambers,7843,5784,13627,57.55,42.45,0.3423937528157381,33745.0,40.38227885612684
alabama,Pike,7693,5056,12749,60.34,39.66,0.3585805622272589,33464.0,38.09765718383935
alabama,Clarke,7140,5749,12889,55.4,44.6,0.2971386647101981,24340.0,52.95398520953164
alabama,Marion,11274,1432,12706,88.73,11.27,0.3870744772766545,29960.0,42.40987983978638
alabama,Franklin,9466,2197,11663,81.16,18.84,0.3762273269507234,31611.0,36.895384518047514
alabama,Geneva,9994,1525,11519,86.76,13.24,0.3796738872504153,26494.0,43.47776855137012
alabama,Marengo,5233,5615,10848,48.24,51.76,0.2095238095238095,19525.0,55.559539052496795
alabama,Cherokee,8953,1547,10500,85.27,14.73,0.4790419161676646,25768.0,40.74821484011177
alabama,Barbour,5454,4871,10325,52.82,47.18,0.3313906982059193,25806.0,40.01007517631558
alabama,Winston,9228,872,10100,91.37,8.63,0.4487736997738736,23907.0,42.24704061571924
alabama,Monroe,5795,4332,10127,57.22,42.78,0.2774421622589162,21548.0,46.997401150918876
alabama,Randolph,7705,2291,9996,77.08,22.92,0.4279959718026183,22504.0,44.41876999644508
alabama,Pickens,5456,3972,9428,57.87,42.13,0.2767295597484276,20325.0,46.38622386223862
alabama,Macon,1431,7566,8997,15.91,84.09,0.2890012782748847,19060.0,47.20356768100735
alabama,Bibb,6738,1874,8612,78.24,21.76,0.2776609171224232,22586.0,38.129814929602404
alabama,Butler,4901,3726,8627,56.81,43.19,0.1668016966115426,20012.0,43.109134519288425
alabama,Washington,6042,2374,8416,71.79,28.21,0.2243110446485794,16621.0,50.634739185367906
alabama,Fayette,6712,1362,8074,83.13,16.87,0.32232070910556,16563.0,48.74720763146773
