,county,population,state
0,Autauga,55243,alabama
1,Baldwin,207601,alabama
2,Barbour,25806,alabama
3,Bibb,22586,alabama
4,Blount,57494,alabama
5,Bullock,10389,alabama
6,Butler,20012,alabama
7,Calhoun,114973,alabama
8,Chambers,33745,alabama
9,Cherokee,25768,alabama
10,Chilton,43866,alabama
11,Choctaw,13045,alabama
12,Clarke,24340,alabama
13,Clay,13393,alabama
14,Cleburne,14848,alabama
15,Coffee,51202,alabama
16,Colbert,54497,alabama
17,Conecuh,12500,alabama
18,Coosa,10819,alabama
19,Covington,37382,alabama
20,Crenshaw,13916,alabama
21,Cullman,82450,alabama
22,Dale,49362,alabama
23,Dallas,40080,alabama
24,DeKalb,71104,alabama
25,Elmore,81204,alabama
26,Escambia,37475,alabama
27,Etowah,102855,alabama
28,Fayette,16563,alabama
29,Franklin,31611,alabama
30,Geneva,26494,alabama
31,Greene,8482,alabama
32,Hale,14828,alabama
33,Henry,17072,alabama
34,Houston,104218,alabama
35,Jackson,51988,alabama
36,Jefferson,660343,alabama
37,Lamar,13928,alabama
38,Lauderdale,92425,alabama
39,Lawrence,33227,alabama
40,Lee,159168,alabama
41,Limestone,92847,alabama
42,Lowndes,10248,alabama
43,Macon,19060,alabama
44,Madison,356729,alabama
45,Marengo,19525,alabama
46,Marion,29960,alabama
47,Marshall,95113,alabama
48,Mobile,414945,alabama
49,Monroe,21548,alabama
50,Montgomery,227170,alabama
51,Morgan,119006,alabama
52,Perry,9532,alabama
53,Pickens,20325,alabama
54,Pike,33464,alabama
55,Randolph,22504,alabama
56,Russell,58185,alabama
57,St. Clair,87306,alabama
58,Shelby,211282,alabama
59,Sumter,12967,alabama
60,Talladega,80552,alabama
61,Tallapoosa,40586,alabama
62,Tuscaloosa,206464,alabama
63,Walker,64533,alabama
64,Washington,16621,alabama
65,Wilcox,10844,alabama
66,Winston,23907,alabama
67,Apache,71381,arizona
68,Cochise,125686,arizona
69,Coconino,140407,arizona
70,Gila,53356,arizona
71,Graham,37807,arizona
72,Greenlee,9643,arizona
73,La Paz,20648,arizona
74,Maricopa,4256143,arizona
75,Mohave,205412,arizona
76,Navajo,108467,arizona
77,Pima,1016707,arizona
78,Pinal,417193,arizona
79,Santa Cruz,46400,arizona
80,Yavapai,224575,arizona
81,Yuma,207247,arizona
82,Arkansas,18154,arkansas
83,Ashley,20530,arkansas
84,Baxter,41131,arkansas
85,Benton,259212,arkansas
86,Boone,37259,arkansas
87,Bradley,10959,arkansas
88,Calhoun,5143,arkansas
89,Carroll,27728,arkansas
90,Chicot,10899,arkansas
91,Clark,22602,arkansas
92,Clay,15060,arkansas
93,Cleburne,25173,arkansas
94,Cleveland,8245,arkansas
95,Columbia,24026,arkansas
96,Conway,20874,arkansas
97,Craighead,105932,arkansas
98,Crawford,62263,arkansas
99,Crittenden,49306,arkansas
100,Cross,17025,arkansas
101,Dallas,7399,arkansas
102,Desha,11905,arkansas
103,Drew,18553,arkansas
104,Faulkner,122206,arkansas
105,Franklin,17655,arkansas
106,Fulton,12099,arkansas
107,Garland,98282,arkansas
108,Grant,18064,arkansas
109,Greene,44730,arkansas
110,Hempstead,22032,arkansas
111,Hot Spring,33438,arkansas
112,Howard,13350,arkansas
113,Independence,37117,arkansas
114,Izard,13488,arkansas
115,Jackson,17282,arkansas
116,Jefferson,70407,arkansas
117,Johnson,26127,arkansas
118,Lafayette,6888,arkansas
119,Lawrence,16639,arkansas
120,Lee,9337,arkansas
121,Lincoln,13728,arkansas
122,Little River,12406,arkansas
123,Logan,21732,arkansas
124,Lonoke,71803,arkansas
125,Madison,16112,arkansas
126,Marion,16376,arkansas
127,Miller,43713,arkansas
128,Mississippi,42900,arkansas
129,Monroe,7205,arkansas
130,Montgomery,8936,arkansas
131,Nevada,8378,arkansas
132,Newton,7848,arkansas
133,Ouachita,24013,arkansas
134,Perry,10286,arkansas
135,Phillips,19050,arkansas
136,Pike,10826,arkansas
137,Poinsett,23974,arkansas
138,Polk,20145,arkansas
139,Pope,63897,arkansas
140,Prairie,8252,arkansas
141,Pulaski,394151,arkansas
142,Randolph,17444,arkansas
143,St. Francis,26347,arkansas
144,Saline,117656,arkansas
145,Scott,10332,arkansas
146,Searcy,7968,arkansas
147,Sebastian,127385,arkansas
148,Sevier,16971,arkansas
149,Sharp,17007,arkansas
150,Stone,12509,arkansas
151,Union,39879,arkansas
152,Van Buren,16669,arkansas
153,Washington,228482,arkansas
