state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %
alabama,Jefferson,134768,156873,291641,46.21,53.79
alabama,Mobile,95116,72186,167302,56.85,43.15
alabama,Madison,89520,62822,152342,58.76,41.24
alabama,Shelby,73020,22977,95997,76.06,23.94
alabama,Montgomery,34003,58916,92919,36.59,63.41
alabama,Baldwin,72883,18458,91341,79.79,20.21
alabama,Tuscaloosa,47723,31762,79485,60.04,39.96
alabama,Lee,34617,21230,55847,61.99,38.01
alabama,Morgan,37486,11254,48740,76.91,23.09
alabama,Calhoun,32865,13242,46107,71.28,28.72
alabama,Etowah,32353,10442,42795,75.6,24.4
alabama,Houston,30728,10664,41392,74.24,25.76
alabama,Limestone,29067,9468,38535,75.43,24.57
alabama,Lauderdale,27899,9952,37851,73.71,26.29
alabama,St. Clair,31651,5589,37240,84.99,15.01
alabama,Cullman,32989,3798,36787,89.68,10.32
alabama,Elmore,27634,8443,36077,76.6,23.4
alabama,Marshall,29233,4917,34150,85.6,14.4
alabama,Talladega,20614,12121,32735,62.97,37.03
alabama,Walker,24266,4497,28763,84.37,15.63
alabama,DeKalb,21405,3622,25027,85.53,14.47
alabama,Blount,22859,2156,25015,91.38,8.62
alabama,Autauga,18172,5936,24108,75.38,24.62
alabama,Colbert,16746,7312,24058,69.61,30.39
alabama,Jackson,16672,3673,20345,81.95,18.05
alabama,Coffee,15875,4221,20096,79.0,21.0
alabama,Tallapoosa,13594,5519,19113,71.12,28.88
alabama,Russell,9210,9579,18789,49.02,50.98
alabama,Dallas,5789,12836,18625,31.08,68.92
alabama,Dale,13808,4413,18221,75.78,24.22
alabama,Chilton,15081,2911,17992,83.82,16.18
alabama,Covington,13267,2387,15654,84.75,15.25
alabama,Escambia,9935,4605,14540,68.33,31.67
alabama,Lawrence,10833,3627,14460,74.92,25.08
alabama,Chambers,7843,5784,13627,57.55,42.45
alabama,Pike,7693,5056,12749,60.34,39.66
alabama,Clarke,7140,5749,12889,55.4,44.6
alabama,Marion,11274,1432,12706,88.73,11.27
alabama,Franklin,9466,2197,11663,81.16,18.84
alabama,Geneva,9994,1525,11519,86.76,13.24
alabama,Marengo,5233,5615,10848,48.24,51.76
alabama,Cherokee,8953,1547,10500,85.27,14.73
alabama,Barbour,5454,4871,10325,52.82,47.18
alabama,Winston,9228,872,10100,91.37,8.63
alabama,Monroe,5795,4332,10127,57.22,42.78
alabama,Randolph,7705,2291,9996,77.08,22.92
alabama,Pickens,5456,3972,9428,57.87,42.13
alabama,Macon,1431,7566,8997,15.91,84.09
alabama,Bibb,6738,1874,8612,78.24,21.76
alabama,Butler,4901,3726,8627,56.81,43.19
alabama,Washington,6042,2374,8416,71.79,28.21
alabama,Fayette,6712,1362,8074,83.13,16.87
alabama,Henry,5632,2292,7924,71.08,28.92
alabama,Hale,3173,4775,7948,39.92,60.08
alabama,Choctaw,4106,3109,7215,56.91,43.09
alabama,Lamar,5823,1036,6859,84.9,15.1
alabama,Lowndes,1751,4883,6634,26.39,73.61
